2026-01-28T09:32:49.267961474Z I0128 09:32:49.265523       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265529       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265536       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265544       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265589       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265594       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265600       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" has no providerID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265604       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265609       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265615       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265622       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265650       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265671       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1" by providerID
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265677       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1" has no providerID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265681       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265695       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265701       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-1" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265707       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265764       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265770       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2" by providerID
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265776       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2" has no providerID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265781       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265795       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265803       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-2" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265811       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265869       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265874       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj" by providerID
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265880       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj" has no providerID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265906       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265912       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265918       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1a-8x8wj" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265925       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265962       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265966       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by providerID
2026-01-28T09:32:49.267961474Z W0128 09:32:49.265989       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" has no providerID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.265994       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by IP
2026-01-28T09:32:49.267961474Z W0128 09:32:49.266000       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266006       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266047       1 nodelink_controller.go:191] Reconciling Node /ip-10-0-3-203.us-west-1.compute.internal
