2026-01-28T09:28:27.315187008Z I0128 09:28:27.315159       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:27.315197078Z I0128 09:28:27.315170       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453453       1 topology.go:130] Instance type m6a.xlarge unsupported for getting instance topology
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453476       1 instances_v2.go:106] No instance topolopy for instance type m6a.xlarge available.
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453485       1 node_controller.go:512] Adding node label from cloud provider: beta.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453490       1 node_controller.go:513] Adding node label from cloud provider: node.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453495       1 node_controller.go:524] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/zone=us-west-1c
2026-01-28T09:28:27.453509653Z I0128 09:28:27.453500       1 node_controller.go:525] Adding node label from cloud provider: topology.kubernetes.io/zone=us-west-1c
2026-01-28T09:28:27.453567716Z I0128 09:28:27.453507       1 node_controller.go:535] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/region=us-west-1
2026-01-28T09:28:27.453567716Z I0128 09:28:27.453516       1 node_controller.go:536] Adding node label from cloud provider: topology.kubernetes.io/region=us-west-1
2026-01-28T09:28:27.453567716Z I0128 09:28:27.453524       1 node_controller.go:547] Adding additional node label(s) from cloud provider: map[topology.k8s.aws/zone-id:usw1-az3]
2026-01-28T09:28:27.476757646Z I0128 09:28:27.476725       1 node_controller.go:474] Successfully initialized node ip-10-0-108-54.us-west-1.compute.internal with cloud provider
2026-01-28T09:28:27.477186754Z I0128 09:28:27.477144       1 event.go:389] "Event occurred" object="ip-10-0-108-54.us-west-1.compute.internal" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2026-01-28T09:28:32.219092465Z I0128 09:28:32.219034       1 batcher.go:146] Batch processing duration: 100.465278ms
2026-01-28T09:28:32.219092465Z I0128 09:28:32.219082       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:32.219131827Z I0128 09:28:32.219092       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:32.389576453Z I0128 09:28:32.389515       1 batcher.go:146] Batch processing duration: 100.260705ms
2026-01-28T09:28:32.389619505Z I0128 09:28:32.389561       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:32.389635396Z I0128 09:28:32.389572       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:37.552177051Z I0128 09:28:37.552081       1 batcher.go:146] Batch processing duration: 100.315659ms
2026-01-28T09:28:37.552246794Z I0128 09:28:37.552168       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:37.552246794Z I0128 09:28:37.552191       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:37.759300753Z I0128 09:28:37.759159       1 batcher.go:146] Batch processing duration: 100.267298ms
2026-01-28T09:28:37.759300753Z I0128 09:28:37.759269       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:37.759369636Z I0128 09:28:37.759288       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:38.067167573Z I0128 09:28:38.067129       1 controller.go:722] Syncing backends for all LB services.
2026-01-28T09:28:38.067167573Z I0128 09:28:38.067148       1 controller.go:726] Successfully updated 0 out of 0 load balancers to direct traffic to the updated set of nodes
2026-01-28T09:28:38.067167573Z I0128 09:28:38.067149       1 node_controller.go:429] Initializing node ip-10-0-102-200.us-west-1.compute.internal with cloud provider
2026-01-28T09:28:38.167567768Z I0128 09:28:38.167483       1 batcher.go:146] Batch processing duration: 100.2841ms
2026-01-28T09:28:38.167567768Z I0128 09:28:38.167557       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:38.167637672Z I0128 09:28:38.167572       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:38.276069162Z I0128 09:28:38.276040       1 instances_v2.go:106] No instance topolopy for instance type m6a.xlarge available.
2026-01-28T09:28:38.276069162Z I0128 09:28:38.276057       1 node_controller.go:512] Adding node label from cloud provider: beta.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:38.276069162Z I0128 09:28:38.276062       1 node_controller.go:513] Adding node label from cloud provider: node.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:38.276069162Z I0128 09:28:38.276066       1 node_controller.go:524] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/zone=us-west-1c
2026-01-28T09:28:38.276095733Z I0128 09:28:38.276069       1 node_controller.go:525] Adding node label from cloud provider: topology.kubernetes.io/zone=us-west-1c
2026-01-28T09:28:38.276095733Z I0128 09:28:38.276073       1 node_controller.go:535] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/region=us-west-1
2026-01-28T09:28:38.276095733Z I0128 09:28:38.276077       1 node_controller.go:536] Adding node label from cloud provider: topology.kubernetes.io/region=us-west-1
2026-01-28T09:28:38.276095733Z I0128 09:28:38.276081       1 node_controller.go:547] Adding additional node label(s) from cloud provider: map[topology.k8s.aws/zone-id:usw1-az3]
2026-01-28T09:28:38.287848394Z I0128 09:28:38.287764       1 node_controller.go:474] Successfully initialized node ip-10-0-102-200.us-west-1.compute.internal with cloud provider
2026-01-28T09:28:38.288058175Z I0128 09:28:38.287949       1 event.go:389] "Event occurred" object="ip-10-0-102-200.us-west-1.compute.internal" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2026-01-28T09:28:42.784544931Z I0128 09:28:42.784466       1 controller.go:722] Syncing backends for all LB services.
2026-01-28T09:28:42.784544931Z I0128 09:28:42.784513       1 controller.go:726] Successfully updated 0 out of 0 load balancers to direct traffic to the updated set of nodes
2026-01-28T09:28:42.784544931Z I0128 09:28:42.784479       1 node_controller.go:429] Initializing node ip-10-0-3-203.us-west-1.compute.internal with cloud provider
2026-01-28T09:28:42.938937602Z I0128 09:28:42.938821       1 batcher.go:146] Batch processing duration: 154.221723ms
2026-01-28T09:28:42.939007825Z I0128 09:28:42.938934       1 batcher.go:187] Batch size for label describe_instance is 2
2026-01-28T09:28:42.939007825Z I0128 09:28:42.938957       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55 i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:43.056455027Z I0128 09:28:43.056428       1 instances_v2.go:106] No instance topolopy for instance type m6a.xlarge available.
2026-01-28T09:28:43.056455027Z I0128 09:28:43.056449       1 node_controller.go:512] Adding node label from cloud provider: beta.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:43.056476328Z I0128 09:28:43.056455       1 node_controller.go:513] Adding node label from cloud provider: node.kubernetes.io/instance-type=m6a.xlarge
2026-01-28T09:28:43.056476328Z I0128 09:28:43.056460       1 node_controller.go:524] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/zone=us-west-1a
2026-01-28T09:28:43.056476328Z I0128 09:28:43.056464       1 node_controller.go:525] Adding node label from cloud provider: topology.kubernetes.io/zone=us-west-1a
2026-01-28T09:28:43.056476328Z I0128 09:28:43.056469       1 node_controller.go:535] Adding node label from cloud provider: failure-domain.beta.kubernetes.io/region=us-west-1
2026-01-28T09:28:43.056507020Z I0128 09:28:43.056474       1 node_controller.go:536] Adding node label from cloud provider: topology.kubernetes.io/region=us-west-1
2026-01-28T09:28:43.056507020Z I0128 09:28:43.056481       1 node_controller.go:547] Adding additional node label(s) from cloud provider: map[topology.k8s.aws/zone-id:usw1-az1]
2026-01-28T09:28:43.067990025Z I0128 09:28:43.067905       1 node_controller.go:474] Successfully initialized node ip-10-0-3-203.us-west-1.compute.internal with cloud provider
2026-01-28T09:28:43.068091850Z I0128 09:28:43.068053       1 event.go:389] "Event occurred" object="ip-10-0-3-203.us-west-1.compute.internal" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
2026-01-28T09:28:43.156854010Z I0128 09:28:43.156803       1 batcher.go:146] Batch processing duration: 100.393482ms
2026-01-28T09:28:43.156887022Z I0128 09:28:43.156855       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:43.156899992Z I0128 09:28:43.156865       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:43.387582958Z I0128 09:28:43.387513       1 batcher.go:146] Batch processing duration: 100.231494ms
2026-01-28T09:28:43.387582958Z I0128 09:28:43.387571       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:43.387636070Z I0128 09:28:43.387588       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:43.603568050Z I0128 09:28:43.603502       1 batcher.go:146] Batch processing duration: 100.241625ms
2026-01-28T09:28:43.603613572Z I0128 09:28:43.603554       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:43.603613572Z I0128 09:28:43.603567       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:43.830494361Z I0128 09:28:43.830432       1 batcher.go:146] Batch processing duration: 100.110568ms
2026-01-28T09:28:43.830571694Z I0128 09:28:43.830493       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:43.830571694Z I0128 09:28:43.830504       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:28:44.035522603Z I0128 09:28:44.035456       1 batcher.go:146] Batch processing duration: 100.231514ms
2026-01-28T09:28:44.035569116Z I0128 09:28:44.035519       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:44.035569116Z I0128 09:28:44.035530       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:28:49.206933392Z I0128 09:28:49.206593       1 batcher.go:146] Batch processing duration: 100.478395ms
2026-01-28T09:28:49.206933392Z I0128 09:28:49.206923       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:49.206973445Z I0128 09:28:49.206938       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:49.421389461Z I0128 09:28:49.421333       1 batcher.go:146] Batch processing duration: 100.223833ms
2026-01-28T09:28:49.421429703Z I0128 09:28:49.421385       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:49.421429703Z I0128 09:28:49.421394       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:49.579099954Z I0128 09:28:49.579053       1 batcher.go:146] Batch processing duration: 100.188561ms
2026-01-28T09:28:49.579143346Z I0128 09:28:49.579106       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:49.579155657Z I0128 09:28:49.579131       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:49.809576899Z I0128 09:28:49.809526       1 batcher.go:146] Batch processing duration: 100.169141ms
2026-01-28T09:28:49.809576899Z I0128 09:28:49.809565       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:49.809630872Z I0128 09:28:49.809575       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:49.984096841Z I0128 09:28:49.984058       1 batcher.go:146] Batch processing duration: 100.228324ms
2026-01-28T09:28:49.984161734Z I0128 09:28:49.984092       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:49.984161734Z I0128 09:28:49.984101       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:28:50.188294571Z I0128 09:28:50.188220       1 batcher.go:146] Batch processing duration: 101.030914ms
2026-01-28T09:28:50.188348064Z I0128 09:28:50.188294       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:50.188348064Z I0128 09:28:50.188307       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:28:55.347919984Z I0128 09:28:55.347861       1 batcher.go:146] Batch processing duration: 100.242904ms
2026-01-28T09:28:55.347919984Z I0128 09:28:55.347914       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:55.347974236Z I0128 09:28:55.347924       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:55.514600640Z I0128 09:28:55.514528       1 batcher.go:146] Batch processing duration: 100.241764ms
2026-01-28T09:28:55.514600640Z I0128 09:28:55.514587       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:55.514653332Z I0128 09:28:55.514599       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:28:55.696086493Z I0128 09:28:55.696009       1 batcher.go:146] Batch processing duration: 101.031014ms
2026-01-28T09:28:55.696131535Z I0128 09:28:55.696082       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:55.696131535Z I0128 09:28:55.696091       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:55.856540281Z I0128 09:28:55.856477       1 batcher.go:146] Batch processing duration: 100.250175ms
2026-01-28T09:28:55.856592634Z I0128 09:28:55.856541       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:55.856605164Z I0128 09:28:55.856572       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:28:56.012970572Z I0128 09:28:56.012908       1 batcher.go:146] Batch processing duration: 100.267755ms
2026-01-28T09:28:56.013046176Z I0128 09:28:56.012966       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:56.013062207Z I0128 09:28:56.012979       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:28:56.188639150Z I0128 09:28:56.188570       1 batcher.go:146] Batch processing duration: 100.979241ms
2026-01-28T09:28:56.188690783Z I0128 09:28:56.188645       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:28:56.188690783Z I0128 09:28:56.188665       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:29:01.349591603Z I0128 09:29:01.349523       1 batcher.go:146] Batch processing duration: 100.238976ms
2026-01-28T09:29:01.349646696Z I0128 09:29:01.349589       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:01.349646696Z I0128 09:29:01.349606       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:29:01.526205098Z I0128 09:29:01.526162       1 batcher.go:146] Batch processing duration: 100.255245ms
2026-01-28T09:29:01.526253941Z I0128 09:29:01.526201       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:01.526253941Z I0128 09:29:01.526210       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:29:01.705256686Z I0128 09:29:01.705183       1 batcher.go:146] Batch processing duration: 100.330039ms
2026-01-28T09:29:01.705256686Z I0128 09:29:01.705244       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:01.705369652Z I0128 09:29:01.705260       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:29:01.860875721Z I0128 09:29:01.860784       1 batcher.go:146] Batch processing duration: 100.278488ms
2026-01-28T09:29:01.860875721Z I0128 09:29:01.860851       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:01.860953895Z I0128 09:29:01.860869       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:29:02.024067533Z I0128 09:29:02.023976       1 batcher.go:146] Batch processing duration: 100.224005ms
2026-01-28T09:29:02.024067533Z I0128 09:29:02.024017       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:02.024104635Z I0128 09:29:02.024065       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:29:02.203352245Z I0128 09:29:02.203288       1 batcher.go:146] Batch processing duration: 100.933031ms
2026-01-28T09:29:02.203392476Z I0128 09:29:02.203363       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:02.203400367Z I0128 09:29:02.203374       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
