2026-01-28T09:31:41.387353920Z I0128 09:31:41.387312       1 operator.go:133] FeatureGates initialized: knownFeatureGates=[AdditionalRoutingCapabilities AdminNetworkPolicy AlibabaPlatform AzureWorkloadIdentity BuildCSIVolumes CPMSMachineNamePrefix ConsolePluginContentSecurityPolicy ExternalOIDC ExternalOIDCWithUIDAndExtraClaimMappings GatewayAPI GatewayAPIController HighlyAvailableArbiter ImageVolume IngressControllerLBSubnetsAWS KMSv1 MachineConfigNodes ManagedBootImages ManagedBootImagesAWS MetricsCollectionProfiles NetworkDiagnosticsConfig NetworkLiveMigration NetworkSegmentation NewOLM PinnedImages PreconfiguredUDNAddresses ProcMountType RouteAdvertisements RouteExternalCertificate ServiceAccountTokenNodeBinding SetEIPForNLBIngressController SigstoreImageVerification StoragePerformantSecurityPolicy UpgradeStatus UserNamespacesPodSecurityStandards UserNamespacesSupport VSphereMultiDisk VSphereMultiNetworks AWSClusterHostedDNS AWSClusterHostedDNSInstall AWSDedicatedHosts AWSServiceLBNetworkSecurityGroup AutomatedEtcdBackup AzureClusterHostedDNSInstall AzureDedicatedHosts AzureMultiDisk BootImageSkewEnforcement BootcNodeManagement ClusterAPIInstall ClusterAPIInstallIBMCloud ClusterMonitoringConfig ClusterVersionOperatorConfiguration DNSNameResolver DualReplica DyanmicServiceEndpointIBMCloud DynamicResourceAllocation EtcdBackendQuota EventedPLEG Example Example2 ExternalSnapshotMetadata GCPClusterHostedDNS GCPClusterHostedDNSInstall GCPCustomAPIEndpoints GCPCustomAPIEndpointsInstall ImageModeStatusReporting ImageStreamImportMode IngressControllerDynamicConfigurationManager InsightsConfig InsightsConfigAPI InsightsOnDemandDataGather IrreconcilableMachineConfig KMSEncryptionProvider MachineAPIMigration MachineAPIOperatorDisableMachineHealthCheckController ManagedBootImagesAzure ManagedBootImagesvSphere MaxUnavailableStatefulSet MinimumKubeletVersion MixedCPUsAllocation MultiArchInstallAzure MultiDiskSetup MutatingAdmissionPolicy NewOLMCatalogdAPIV1Metas NewOLMOwnSingleNamespace NewOLMPreflightPermissionChecks NewOLMWebhookProviderOpenshiftServiceCA NoRegistryClusterOperations NodeSwap NutanixMultiSubnets OVNObservability OpenShiftPodSecurityAdmission SELinuxMount ShortCertRotation SignatureStores SigstoreImageVerificationPKI TranslateStreamCloseWebsocketRequests VSphereConfigurableMaxAllowedBlockVolumesPerNode VSphereHostVMGroupZonal VSphereMixedNodeEnv VolumeAttributesClass VolumeGroupSnapshot]
2026-01-28T09:31:41.387399741Z I0128 09:31:41.387388       1 operator.go:145] Adding controller-runtime controllers
2026-01-28T09:31:41.387682767Z I0128 09:31:41.387657       1 event.go:377] Event(v1.ObjectReference{Kind:"Deployment", Namespace:"openshift-network-operator", Name:"network-operator", UID:"6c6c4b09-2539-4cd6-9000-e22f0b6fc631", APIVersion:"apps/v1", ResourceVersion:"", FieldPath:""}): type: 'Normal' reason: 'FeatureGatesInitialized' FeatureGates updated to featuregates.Features{Enabled:[]v1.FeatureGateName{"AdditionalRoutingCapabilities", "AdminNetworkPolicy", "AlibabaPlatform", "AzureWorkloadIdentity", "BuildCSIVolumes", "CPMSMachineNamePrefix", "ConsolePluginContentSecurityPolicy", "ExternalOIDC", "ExternalOIDCWithUIDAndExtraClaimMappings", "GatewayAPI", "GatewayAPIController", "HighlyAvailableArbiter", "ImageVolume", "IngressControllerLBSubnetsAWS", "KMSv1", "MachineConfigNodes", "ManagedBootImages", "ManagedBootImagesAWS", "MetricsCollectionProfiles", "NetworkDiagnosticsConfig", "NetworkLiveMigration", "NetworkSegmentation", "NewOLM", "PinnedImages", "PreconfiguredUDNAddresses", "ProcMountType", "RouteAdvertisements", "RouteExternalCertificate", "ServiceAccountTokenNodeBinding", "SetEIPForNLBIngressController", "SigstoreImageVerification", "StoragePerformantSecurityPolicy", "UpgradeStatus", "UserNamespacesPodSecurityStandards", "UserNamespacesSupport", "VSphereMultiDisk", "VSphereMultiNetworks"}, Disabled:[]v1.FeatureGateName{"AWSClusterHostedDNS", "AWSClusterHostedDNSInstall", "AWSDedicatedHosts", "AWSServiceLBNetworkSecurityGroup", "AutomatedEtcdBackup", "AzureClusterHostedDNSInstall", "AzureDedicatedHosts", "AzureMultiDisk", "BootImageSkewEnforcement", "BootcNodeManagement", "ClusterAPIInstall", "ClusterAPIInstallIBMCloud", "ClusterMonitoringConfig", "ClusterVersionOperatorConfiguration", "DNSNameResolver", "DualReplica", "DyanmicServiceEndpointIBMCloud", "DynamicResourceAllocation", "EtcdBackendQuota", "EventedPLEG", "Example", "Example2", "ExternalSnapshotMetadata", "GCPClusterHostedDNS", "GCPClusterHostedDNSInstall", "GCPCustomAPIEndpoints", "GCPCustomAPIEndpointsInstall", "ImageModeStatusReporting", "ImageStreamImportMode", "IngressControllerDynamicConfigurationManager", "InsightsConfig", "InsightsConfigAPI", "InsightsOnDemandDataGather", "IrreconcilableMachineConfig", "KMSEncryptionProvider", "MachineAPIMigration", "MachineAPIOperatorDisableMachineHealthCheckController", "ManagedBootImagesAzure", "ManagedBootImagesvSphere", "MaxUnavailableStatefulSet", "MinimumKubeletVersion", "MixedCPUsAllocation", "MultiArchInstallAzure", "MultiDiskSetup", "MutatingAdmissionPolicy", "NewOLMCatalogdAPIV1Metas", "NewOLMOwnSingleNamespace", "NewOLMPreflightPermissionChecks", "NewOLMWebhookProviderOpenshiftServiceCA", "NoRegistryClusterOperations", "NodeSwap", "NutanixMultiSubnets", "OVNObservability", "OpenShiftPodSecurityAdmission", "SELinuxMount", "ShortCertRotation", "SignatureStores", "SigstoreImageVerificationPKI", "TranslateStreamCloseWebsocketRequests", "VSphereConfigurableMaxAllowedBlockVolumesPerNode", "VSphereHostVMGroupZonal", "VSphereMixedNodeEnv", "VolumeAttributesClass", "VolumeGroupSnapshot"}}
2026-01-28T09:31:41.393736653Z I0128 09:31:41.393713       1 client.go:241] Starting informers...
2026-01-28T09:31:41.393757994Z I0128 09:31:41.393741       1 client.go:252] Waiting for informers to sync...
2026-01-28T09:31:41.460622743Z I0128 09:31:41.460273       1 shared_informer.go:357] "Caches are synced" controller="RequestHeaderAuthRequestController"
2026-01-28T09:31:41.460834498Z I0128 09:31:41.460705       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:31:41.460876809Z I0128 09:31:41.460722       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:31:41.494108124Z I0128 09:31:41.494049       1 client.go:273] Informers started and synced
2026-01-28T09:31:41.494108124Z I0128 09:31:41.494076       1 operator.go:169] Starting controller-manager
2026-01-28T09:31:41.494231327Z I0128 09:31:41.494215       1 base_controller.go:76] Waiting for caches to sync for LoggingSyncer
2026-01-28T09:31:41.494265498Z I0128 09:31:41.494254       1 base_controller.go:82] Caches are synced for LoggingSyncer 
2026-01-28T09:31:41.494301118Z I0128 09:31:41.494289       1 base_controller.go:119] Starting #1 worker of LoggingSyncer controller ...
2026-01-28T09:31:41.494362620Z I0128 09:31:41.494303       1 controller.go:246] "Starting EventSource" controller="pki-controller" source="kind source: *v1.OperatorPKI"
2026-01-28T09:31:41.494416321Z I0128 09:31:41.494399       1 controller.go:246] "Starting EventSource" controller="proxyconfig-controller" source="kind source: *v1.Proxy"
2026-01-28T09:31:41.494531284Z I0128 09:31:41.494516       1 controller.go:246] "Starting EventSource" controller="egress-router-controller" source="kind source: *v1.EgressRouter"
2026-01-28T09:31:41.494651017Z I0128 09:31:41.494635       1 controller.go:246] "Starting EventSource" controller="clusterconfig-controller" source="kind source: *v1.Network"
2026-01-28T09:31:41.494826200Z I0128 09:31:41.494808       1 controller.go:246] "Starting EventSource" controller="proxyconfig-controller" source="informer source: 0xc000e0e160"
2026-01-28T09:31:41.494958863Z I0128 09:31:41.494942       1 controller.go:246] "Starting EventSource" controller="operconfig-controller" source="kind source: *v1.Node"
2026-01-28T09:31:41.495046005Z I0128 09:31:41.495026       1 base_controller.go:76] Waiting for caches to sync for cluster-network-operator-ManagementState
2026-01-28T09:31:41.495084226Z I0128 09:31:41.495073       1 base_controller.go:82] Caches are synced for cluster-network-operator-ManagementState 
2026-01-28T09:31:41.495134987Z I0128 09:31:41.495122       1 base_controller.go:119] Starting #1 worker of cluster-network-operator-ManagementState controller ...
2026-01-28T09:31:41.495195409Z I0128 09:31:41.495176       1 controller.go:246] "Starting EventSource" controller="signer-controller" source="kind source: *v1.CertificateSigningRequest"
2026-01-28T09:31:41.495431864Z I0128 09:31:41.495413       1 base_controller.go:76] Waiting for caches to sync for ConnectivityCheckController
2026-01-28T09:31:41.495622518Z I0128 09:31:41.495603       1 controller.go:246] "Starting EventSource" controller="operconfig-controller" source="kind source: *v1.Network"
2026-01-28T09:31:41.495694630Z I0128 09:31:41.495679       1 controller.go:246] "Starting EventSource" controller="operconfig-controller" source="kind source: *v1.Network"
2026-01-28T09:31:41.495857484Z I0128 09:31:41.495841       1 controller.go:246] "Starting EventSource" controller="operconfig-controller" source="informer source: 0xc000e0e370"
2026-01-28T09:31:41.496141660Z I0128 09:31:41.496121       1 controller.go:246] "Starting EventSource" controller="configmap-trust-bundle-injector-controller" source="informer source: 0xc000e0e580"
2026-01-28T09:31:41.496234872Z I0128 09:31:41.496215       1 controller.go:246] "Starting EventSource" controller="infrastructureconfig-controller" source="kind source: *v1.Infrastructure"
